Player,FotMob rating,Minutes played,Goals,Assists,Total shots,xG_,xA_,xG + xA
Toni Kroos,8.5,86,0,1,2,0.11,0.55,0.66
Vinicius Junior,8.3,89,1,0,3,0.43,0.01,0.44
Daniel Carvajal,8.3,90,1,0,3,0.28,0.02,0.30
Thibaut Courtois,8.2,90,0,0,0,0,0,0
Jude Bellingham,7.9,85,0,1,1,0.18,0.04,0.22
Ferland Mendy,7.7,90,0,0,0,0,0.01,0.01
Eduardo Camavinga,7.6,90,0,0,1,0.02,0.11,0.13
Antonio Rüdiger,7.2,90,0,0,0,0,0.01,0.01
Julian Brandt,7.0,80,0,0,1,0.16,0.27,0.43
Federico Valverde,7.0,90,0,0,2,0.05,0.05,0.10
Nacho Fernandez,6.9,90,0,0,1,0.08,0,0.08
Karim Adeyemi,6.9,72,0,0,3,0.25,0.07,0.32
Gregor Kobel,6.9,90,0,0,0,0,0,0
Niclas Füllkrug,6.8,90,0,0,4,1.58,0.07,1.65
Mats Hummels,6.6,90,0,0,2,0.05,0.24,0.29
Marcel Sabitzer,6.3,90,0,0,1,0.04,0.14,0.18
Marco Reus,6.3,18,0,0,0,0,0,0
Jadon Sancho,6.3,87,0,0,0,0,0.06,0.06
Rodrygo,6.2,89,0,0,0,0,0.03,0.03
Nico Schlotterbeck,6.2,90,0,0,0,0,0.05,0.05
Sebastien Haller,6.1,10,0,0,0,0,0.02,0.02
Ian Maatsen,6.1,90,0,0,1,0.04,0.40,0.44
Emre Can,6.1,80,0,0,0,0,0.01,0.01
Donyell Malen,6.0,10,0,0,0,0,0,0
Julian Ryerson,5.8,90,0,0,0,0,0.02,0.02
Jamie Bynoe-Gittens,,3,0,0,1,0.03,0,0.03
Joselu,,5,0,0,0,0,0,0
Luka Modric,,4,0,0,0,0,0,0
Éder Militao,,1,0,0,0,0,0,0
Lucas Vázquez,,1,0,0,0,0,0,0

